dataset,algo,rank,node,score
TwiBot-22,AP_Greedy,1,354,
TwiBot-22,AP_Greedy,2,115,
TwiBot-22,AP_Greedy,3,48,
TwiBot-22,AP_Greedy,4,24632,
TwiBot-22,AP_Greedy,5,12,
TwiBot-22,AP_Greedy,1,354,
TwiBot-22,AP_Greedy,2,115,
TwiBot-22,AP_Greedy,3,48,
TwiBot-22,AP_Greedy,4,24632,
TwiBot-22,AP_Greedy,5,12,
TwiBot-22,BICC,1,57,
TwiBot-22,BICC,2,70,
TwiBot-22,BICC,3,29,
TwiBot-22,BICC,4,55,
TwiBot-22,BICC,5,7,
TwiBot-22,HIS,1,115,"{0: 3, 1: 0.81125, 2: 0.81125, 3: 0.81125, 4: 0.81125, 5: 0.81125, 6: 0.81125, 7: 0.81125, 8: 0.81125, 9: 0.81125, 10: 0.81125}"
TwiBot-22,HIS,2,354,"{0: 1.65, 1: 1.1, 2: 1.1, 3: 1.1, 4: 1.1, 5: 1.1, 6: 1.1, 7: 1.1, 8: 1.1, 9: 1.1, 10: 1.1}"
TwiBot-22,HIS,3,12,"{0: 2, 1: 0.81125, 2: 0.81125, 3: 0.81125, 4: 0.81125, 5: 0.81125, 6: 0.81125, 7: 0.81125, 8: 0.81125, 9: 0.81125, 10: 0.81125}"
TwiBot-22,HIS,4,8289,"{0: 2, 1: 0.81125, 2: 0.81125, 3: 0.81125, 4: 0.81125, 5: 0.81125, 6: 0.81125, 7: 0.81125, 8: 0.81125, 9: 0.81125, 10: 0.81125}"
TwiBot-22,HIS,5,57,"{0: 0.9762500000000001, 1: 0.81125, 2: 0.81125, 3: 0.81125, 4: 0.81125, 5: 0.81125, 6: 0.81125, 7: 0.81125, 8: 0.81125, 9: 0.81125, 10: 0.81125}"
TwiBot-22,MaxD,1,354,
TwiBot-22,MaxD,2,115,
TwiBot-22,MaxD,3,65,
TwiBot-22,MaxD,4,24632,
TwiBot-22,MaxD,5,113,
TwiBot-22,AP_Greedy,1,354,
TwiBot-22,AP_Greedy,2,115,
TwiBot-22,AP_Greedy,3,48,
TwiBot-22,AP_Greedy,4,24632,
TwiBot-22,AP_Greedy,5,12,
TwiBot-22,HIS,1,115,"{0: 3, 1: 0.81125, 2: 0.81125, 3: 0.81125, 4: 0.81125, 5: 0.81125, 6: 0.81125, 7: 0.81125, 8: 0.81125, 9: 0.81125, 10: 0.81125}"
TwiBot-22,HIS,2,354,"{0: 1.65, 1: 1.1, 2: 1.1, 3: 1.1, 4: 1.1, 5: 1.1, 6: 1.1, 7: 1.1, 8: 1.1, 9: 1.1, 10: 1.1}"
TwiBot-22,HIS,3,12,"{0: 2, 1: 0.81125, 2: 0.81125, 3: 0.81125, 4: 0.81125, 5: 0.81125, 6: 0.81125, 7: 0.81125, 8: 0.81125, 9: 0.81125, 10: 0.81125}"
TwiBot-22,HIS,4,8289,"{0: 2, 1: 0.81125, 2: 0.81125, 3: 0.81125, 4: 0.81125, 5: 0.81125, 6: 0.81125, 7: 0.81125, 8: 0.81125, 9: 0.81125, 10: 0.81125}"
TwiBot-22,HIS,5,57,"{0: 0.9762500000000001, 1: 0.81125, 2: 0.81125, 3: 0.81125, 4: 0.81125, 5: 0.81125, 6: 0.81125, 7: 0.81125, 8: 0.81125, 9: 0.81125, 10: 0.81125}"
TwiBot-22,MaxD,1,354,
TwiBot-22,MaxD,2,115,
TwiBot-22,MaxD,3,65,
TwiBot-22,MaxD,4,24632,
TwiBot-22,MaxD,5,113,
TwiBot-22,AP_Greedy,1,354,
TwiBot-22,AP_Greedy,2,115,
TwiBot-22,AP_Greedy,3,48,
TwiBot-22,AP_Greedy,4,24632,
TwiBot-22,AP_Greedy,5,12,
TwiBot-22,NOBE_GA,1,48,
TwiBot-22,NOBE_GA,2,4,
TwiBot-22,NOBE_GA,3,5,
TwiBot-22,NOBE_GA,4,6,
TwiBot-22,NOBE_GA,5,7,
TwiBot-22,BICC,1,57,
TwiBot-22,BICC,2,70,
TwiBot-22,BICC,3,29,
TwiBot-22,BICC,4,55,
TwiBot-22,BICC,5,7,
TwiBot-22,HIS,1,115,3
TwiBot-22,HIS,2,12,2
TwiBot-22,HIS,3,8289,2
TwiBot-22,HIS,4,48,2
TwiBot-22,HIS,5,113,2
TwiBot-22,MaxD,1,354,
TwiBot-22,MaxD,2,115,
TwiBot-22,MaxD,3,65,
TwiBot-22,MaxD,4,24632,
TwiBot-22,MaxD,5,113,
TwiBot-22,AP_Greedy,1,354,
TwiBot-22,AP_Greedy,2,115,
TwiBot-22,AP_Greedy,3,48,
TwiBot-22,AP_Greedy,4,24632,
TwiBot-22,AP_Greedy,5,12,
TwiBot-22,NOBE_GA,1,48,
TwiBot-22,NOBE_GA,2,4,
TwiBot-22,NOBE_GA,3,5,
TwiBot-22,NOBE_GA,4,6,
TwiBot-22,NOBE_GA,5,7,
TwiBot-22,BICC,1,57,
TwiBot-22,BICC,2,70,
TwiBot-22,BICC,3,29,
TwiBot-22,BICC,4,55,
TwiBot-22,BICC,5,7,
TwiBot-22,HIS,1,115,3
TwiBot-22,HIS,2,12,2
TwiBot-22,HIS,3,8289,2
TwiBot-22,HIS,4,48,2
TwiBot-22,HIS,5,113,2
TwiBot-22,MaxD,1,354,
TwiBot-22,MaxD,2,115,
TwiBot-22,MaxD,3,65,
TwiBot-22,MaxD,4,24632,
TwiBot-22,MaxD,5,113,
TwiBot-22,AP_Greedy,1,354,
TwiBot-22,AP_Greedy,2,115,
TwiBot-22,AP_Greedy,3,48,
TwiBot-22,AP_Greedy,4,24632,
TwiBot-22,AP_Greedy,5,12,
TwiBot-22,NOBE_GA,1,48,
TwiBot-22,NOBE_GA,2,4,
TwiBot-22,NOBE_GA,3,5,
TwiBot-22,NOBE_GA,4,6,
TwiBot-22,NOBE_GA,5,7,
TwiBot-22,NOBE,1,5,
TwiBot-22,NOBE,2,50,
TwiBot-22,NOBE,3,7,
TwiBot-22,NOBE,4,18,
TwiBot-22,NOBE,5,51,
TwiBot-22,BICC,1,57,
TwiBot-22,BICC,2,70,
TwiBot-22,BICC,3,29,
TwiBot-22,BICC,4,55,
TwiBot-22,BICC,5,7,
